id,title,genres,averageRating,numVotes,releaseYear
tt5988370,Reis,"[""Biography"", ""Drama""]",1,74156,2017
tt7221896,"Cumali Ceber: Allah Seni Alsin","[""Comedy""]",1,39455,2017
tt13423846,"321 Action","[""Drama""]",1,10210,2020
tt20255706,"The Pogmentary","[""Biography"", ""Documentary"", ""Sport""]",1.1,13808,2022
tt21403988,"The Last Pharaoh","[""Documentary"", ""Drama"", ""History""]",1.1,12019,2023
tt21194980,"Golden Bull","[""Action"", ""Documentary"", ""Drama""]",1.1,11171,2022
tt7886848,"Sadak 2","[""Action"", ""Drama""]",1.2,96837,2020
tt27528139,"Queen Cleopatra","[""Documentary"", ""Drama"", ""History""]",1.2,86277,2023
tt6038600,Smolensk,"[""Drama"", ""Thriller""]",1.2,40221,2016
tt14878948,"15/07: Break of Dawn","[""Action"", ""Drama"", ""War""]",1.2,20685,2021
tt0421051,"Daniel the Wizard","[""Comedy"", ""Crime"", ""Fantasy""]",1.2,14926,2004
tt27530764,Rivals,"[""Documentary"", ""Drama"", ""History""]",1.2,10675,2023
tt8402090,"Cumali Ceber 2","[""Comedy""]",1.2,10368,2018
tt4009460,"Kirk Cameron's Saving Christmas","[""Comedy"", ""Family""]",1.3,16860,2014
tt0249516,Foodfight!,"[""Action"", ""Adventure"", ""Animation""]",1.3,12098,2012
tt1309000,Dream.net,"[""Comedy"", ""Romance"", ""Sport""]",1.3,10016,2009
tt4884540,"Angels Apocalypse","[""Action"", ""Fantasy"", ""Sci-Fi""]",1.4,42953,2015
tt14723224,"The Cost of Deception","[""Action"", ""Crime"", ""Drama""]",1.5,40614,2021
tt0270846,"Superbabies: Baby Geniuses 2","[""Comedy"", ""Family"", ""Sci-Fi""]",1.5,31790,2004
tt0808240,"Turks in Space","[""Action"", ""Comedy"", ""Sci-Fi""]",1.5,16820,2006
tt14153790,Velma,"[""Adventure"", ""Animation"", ""Comedy""]",1.6,79333,2023
tt0060666,"Manos: The Hands of Fate","[""Horror""]",1.6,37790,1966
tt3165608,"Justin Bieber's Believe","[""Documentary"", ""Music""]",1.6,17929,2013
tt1229827,"Jonas Brothers: The 3D Concert Experience","[""Biography"", ""Documentary"", ""Music""]",1.6,17555,2009
tt1702443,"Justin Bieber: Never Say Never","[""Documentary"", ""Music""]",1.7,76466,2011
tt4458206,"Code Name: K.O.Z.","[""Crime"", ""Mystery""]",1.7,27589,2015
tt1316037,"Birdemic: Shock and Terror","[""Horror"", ""Thriller""]",1.7,25800,2010
tt0417056,"Pledge This!","[""Comedy""]",1.7,18967,2006
tt12286260,"Santa Inc.","[""Animation"", ""Comedy"", ""Fantasy""]",1.7,15623,2021
tt1520498,"The Oogieloves in the Big Balloon Adventure","[""Adventure"", ""Family"", ""Fantasy""]",1.7,15492,2012
tt1640571,"Titanic II","[""Action"", ""Adventure"", ""Drama""]",1.7,13121,2010
tt0096870,"Going Overboard","[""Comedy""]",1.8,14703,1989
tt0059464,"Monster a Go-Go","[""Horror"", ""Sci-Fi""]",1.8,10106,1965
tt10888594,Radhe,"[""Action"", ""Crime"", ""Thriller""]",1.9,180234,2021
tt1213644,"Disaster Movie","[""Comedy"", ""Sci-Fi""]",1.9,95280,2008
tt7431594,"Race 3","[""Action"", ""Crime"", ""Thriller""]",1.9,48949,2018
tt0339034,"From Justin to Kelly","[""Comedy"", ""Music"", ""Musical""]",1.9,27111,2003
tt0054673,"The Beast of Yucca Flats","[""Horror"", ""Sci-Fi""]",1.9,10492,1961
tt7668842,"Enes Batur: Imagination or Reality?","[""Comedy""]",2,56193,2018
tt0804492,"The Hottie & the Nottie","[""Comedy"", ""Romance""]",2,39288,2008
